@> 847 atoms and 1 coordinate set(s) were parsed in 0.01s.
/home/nithin/data2/nithin/codex_work/resilient_interface/Upside_Desktop/py/upside_config.py:2403: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  ref_state_cor =  np.log(cPickle.load(open(args.reference_state_rama, 'rb'), encoding='latin1'))
invocation: /home/nithin/data2/nithin/codex_work/resilient_interface/Upside_Desktop/obj/upside --duration 10000 --frame-interval 50 --temperature 0.8 --seed 1 .//outputs/trans_cis/2qke_mon.run.up
random seed: 1
.//outputs/trans_cis/2qke_mon.run.up
n_atom 324


0 0.80

Initial potential energy: 59.10
 6000 / 10000 elapsed  0 system 0.80 temp  96.5 hbonds, Rg  13.5 A, potential  -129.37
 6050 / 10000 elapsed  0 system 0.80 temp  95.7 hbonds, Rg  14.0 A, potential  -121.02
 6100 / 10000 elapsed  0 system 0.80 temp  97.4 hbonds, Rg  14.0 A, potential  -139.87
 6150 / 10000 elapsed  0 system 0.80 temp  94.5 hbonds, Rg  13.9 A, potential  -112.84
 6200 / 10000 elapsed  0 system 0.80 temp  96.0 hbonds, Rg  14.0 A, potential  -126.90
 6250 / 10000 elapsed  0 system 0.80 temp 100.1 hbonds, Rg  13.7 A, potential   -98.11
 6301 / 10000 elapsed  0 system 0.80 temp  96.8 hbonds, Rg  13.5 A, potential  -188.31
 6351 / 10000 elapsed  0 system 0.80 temp  93.2 hbonds, Rg  13.6 A, potential  -132.62
 6401 / 10000 elapsed  0 system 0.80 temp  93.8 hbonds, Rg  14.4 A, potential  -148.15
 6451 / 10000 elapsed  0 system 0.80 temp  99.5 hbonds, Rg  13.8 A, potential  -126.71
 6501 / 10000 elapsed  0 system 0.80 temp  98.6 hbonds, Rg  13.9 A, potential  -140.09
 6551 / 10000 elapsed  0 system 0.80 temp  95.8 hbonds, Rg  13.9 A, potential  -135.13
 6601 / 10000 elapsed  0 system 0.80 temp  98.3 hbonds, Rg  13.7 A, potential  -172.53
 6651 / 10000 elapsed  0 system 0.80 temp  97.9 hbonds, Rg  13.6 A, potential  -140.59
 6701 / 10000 elapsed  0 system 0.80 temp  94.6 hbonds, Rg  13.6 A, potential  -135.17
 6751 / 10000 elapsed  0 system 0.80 temp  93.0 hbonds, Rg  13.6 A, potential  -154.21
 6801 / 10000 elapsed  0 system 0.80 temp  95.7 hbonds, Rg  13.9 A, potential  -118.94
 6851 / 10000 elapsed  0 system 0.80 temp  97.3 hbonds, Rg  14.0 A, potential  -141.62
