invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-z-recentering .//outputs/lateral_test/1qhj.run.0.up .//outputs/lateral_test/1qhj.run.1.up .//outputs/lateral_test/1qhj.run.2.up .//outputs/lateral_test/1qhj.run.3.up .//outputs/lateral_test/1qhj.run.4.up .//outputs/lateral_test/1qhj.run.5.up .//outputs/lateral_test/1qhj.run.6.up .//outputs/lateral_test/1qhj.run.7.up
random seed: 1
.//outputs/lateral_test/1qhj.run.0.up
n_atom 684

.//outputs/lateral_test/1qhj.run.1.up
n_atom 684

.//outputs/lateral_test/1qhj.run.2.up
n_atom 684

.//outputs/lateral_test/1qhj.run.3.up
n_atom 684

.//outputs/lateral_test/1qhj.run.4.up
n_atom 684

.//outputs/lateral_test/1qhj.run.5.up
n_atom 684

.//outputs/lateral_test/1qhj.run.6.up
n_atom 684

.//outputs/lateral_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

 750 / 5000 elapsed  6 system 0.80 temp 302.5 hbonds, Rg  18.1 A, potential  -611.38
 750 / 5000 elapsed  2 system 0.80 temp 299.3 hbonds, Rg  18.0 A, potential  -563.13
 800 / 5000 elapsed  4 system 0.80 temp 300.4 hbonds, Rg  17.6 A, potential  -640.84
 800 / 5000 elapsed  3 system 0.80 temp 311.3 hbonds, Rg  17.9 A, potential  -651.27
 800 / 5000 elapsed  7 system 0.80 temp 296.5 hbonds, Rg  17.7 A, potential  -615.15
 800 / 5000 elapsed  0 system 0.80 temp 296.3 hbonds, Rg  18.5 A, potential  -593.57
 800 / 5000 elapsed  1 system 0.80 temp 301.5 hbonds, Rg  18.2 A, potential  -514.56
 800 / 5000 elapsed  5 system 0.80 temp 301.0 hbonds, Rg  17.7 A, potential  -564.32
 800 / 5000 elapsed  6 system 0.80 temp 301.1 hbonds, Rg  18.2 A, potential  -602.14
 800 / 5000 elapsed  2 system 0.80 temp 300.0 hbonds, Rg  18.1 A, potential  -600.07
 850 / 5000 elapsed  3 system 0.80 temp 318.0 hbonds, Rg  17.7 A, potential  -662.56
 850 / 5000 elapsed  0 system 0.80 temp 300.0 hbonds, Rg  18.0 A, potential  -667.44
 850 / 5000 elapsed  7 system 0.80 temp 300.9 hbonds, Rg  17.7 A, potential  -601.06
 850 / 5000 elapsed  4 system 0.80 temp 303.4 hbonds, Rg  18.0 A, potential  -600.14
 850 / 5000 elapsed  1 system 0.80 temp 293.6 hbonds, Rg  17.6 A, potential  -552.22
 850 / 5000 elapsed  5 system 0.80 temp 305.5 hbonds, Rg  17.9 A, potential  -642.19
 850 / 5000 elapsed  6 system 0.80 temp 294.7 hbonds, Rg  18.1 A, potential  -600.21
 850 / 5000 elapsed  2 system 0.80 temp 307.0 hbonds, Rg  18.1 A, potential  -571.58
 900 / 5000 elapsed  3 system 0.80 temp 307.6 hbonds, Rg  17.9 A, potential  -597.57
 900 / 5000 elapsed  7 system 0.80 temp 305.6 hbonds, Rg  17.5 A, potential  -664.26
 900 / 5000 elapsed  4 system 0.80 temp 302.5 hbonds, Rg  18.2 A, potential  -627.60
 900 / 5000 elapsed  0 system 0.80 temp 302.8 hbonds, Rg  18.0 A, potential  -613.89
 900 / 5000 elapsed  1 system 0.80 temp 300.2 hbonds, Rg  17.9 A, potential  -663.80
 900 / 5000 elapsed  5 system 0.80 temp 310.3 hbonds, Rg  17.8 A, potential  -629.11
 900 / 5000 elapsed  6 system 0.80 temp 293.6 hbonds, Rg  18.3 A, potential  -638.93
 900 / 5000 elapsed  2 system 0.80 temp 298.5 hbonds, Rg  18.0 A, potential  -568.74
 950 / 5000 elapsed  3 system 0.80 temp 307.8 hbonds, Rg  17.8 A, potential  -585.28
 950 / 5000 elapsed  4 system 0.80 temp 306.6 hbonds, Rg  18.1 A, potential  -573.78
 950 / 5000 elapsed  0 system 0.80 temp 303.7 hbonds, Rg  18.1 A, potential  -565.69
 950 / 5000 elapsed  7 system 0.80 temp 302.1 hbonds, Rg  17.6 A, potential  -516.51
 950 / 5000 elapsed  1 system 0.80 temp 302.0 hbonds, Rg  17.9 A, potential  -604.42
 950 / 5000 elapsed  5 system 0.80 temp 303.6 hbonds, Rg  17.9 A, potential  -655.09
 950 / 5000 elapsed  6 system 0.80 temp 294.8 hbonds, Rg  18.1 A, potential  -586.54
 950 / 5000 elapsed  2 system 0.80 temp 301.6 hbonds, Rg  18.1 A, potential  -636.81
1000 / 5000 elapsed  3 system 0.80 temp 299.1 hbonds, Rg  17.8 A, potential  -585.01
1000 / 5000 elapsed  4 system 0.80 temp 294.6 hbonds, Rg  17.9 A, potential  -541.20
1000 / 5000 elapsed  7 system 0.80 temp 301.4 hbonds, Rg  17.7 A, potential  -623.55
1000 / 5000 elapsed  0 system 0.80 temp 298.0 hbonds, Rg  18.2 A, potential  -583.53
1000 / 5000 elapsed  1 system 0.80 temp 294.3 hbonds, Rg  18.0 A, potential  -614.95
1000 / 5000 elapsed  5 system 0.80 temp 304.2 hbonds, Rg  18.1 A, potential  -599.24
1000 / 5000 elapsed  6 system 0.80 temp 292.7 hbonds, Rg  17.9 A, potential  -564.73
1000 / 5000 elapsed  2 system 0.80 temp 291.8 hbonds, Rg  18.3 A, potential  -578.14
1050 / 5000 elapsed  4 system 0.80 temp 302.5 hbonds, Rg  17.8 A, potential  -608.52
1050 / 5000 elapsed  3 system 0.80 temp 305.2 hbonds, Rg  17.7 A, potential  -646.53
1050 / 5000 elapsed  0 system 0.80 temp 304.7 hbonds, Rg  17.8 A, potential  -608.98
1050 / 5000 elapsed  7 system 0.80 temp 297.8 hbonds, Rg  18.0 A, potential  -567.07
1050 / 5000 elapsed  1 system 0.80 temp 302.2 hbonds, Rg  17.9 A, potential  -629.44
