invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-recentering .//outputs/pulling_test/1qhj.run.0.up .//outputs/pulling_test/1qhj.run.1.up .//outputs/pulling_test/1qhj.run.2.up .//outputs/pulling_test/1qhj.run.3.up .//outputs/pulling_test/1qhj.run.4.up .//outputs/pulling_test/1qhj.run.5.up .//outputs/pulling_test/1qhj.run.6.up .//outputs/pulling_test/1qhj.run.7.up
random seed: 1
.//outputs/pulling_test/1qhj.run.0.up
n_atom 684

.//outputs/pulling_test/1qhj.run.1.up
n_atom 684

.//outputs/pulling_test/1qhj.run.2.up
n_atom 684

.//outputs/pulling_test/1qhj.run.3.up
n_atom 684

.//outputs/pulling_test/1qhj.run.4.up
n_atom 684

.//outputs/pulling_test/1qhj.run.5.up
n_atom 684

.//outputs/pulling_test/1qhj.run.6.up
n_atom 684

.//outputs/pulling_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

1200 / 5000 elapsed  2 system 0.80 temp 306.8 hbonds, Rg  17.8 A, potential  -607.86
1250 / 5000 elapsed  5 system 0.80 temp 305.9 hbonds, Rg  17.7 A, potential  -614.14
1250 / 5000 elapsed  1 system 0.80 temp 295.7 hbonds, Rg  17.8 A, potential  -580.95
1250 / 5000 elapsed  0 system 0.80 temp 287.0 hbonds, Rg  18.1 A, potential  -550.47
1250 / 5000 elapsed  4 system 0.80 temp 311.9 hbonds, Rg  18.0 A, potential  -620.71
1250 / 5000 elapsed  3 system 0.80 temp 303.7 hbonds, Rg  17.8 A, potential  -576.56
1300 / 5000 elapsed  6 system 0.80 temp 304.8 hbonds, Rg  18.2 A, potential  -576.23
1250 / 5000 elapsed  7 system 0.80 temp 305.2 hbonds, Rg  17.9 A, potential  -637.87
1250 / 5000 elapsed  2 system 0.80 temp 307.6 hbonds, Rg  17.7 A, potential  -624.39
1300 / 5000 elapsed  5 system 0.80 temp 300.5 hbonds, Rg  17.8 A, potential  -613.03
1300 / 5000 elapsed  1 system 0.80 temp 297.5 hbonds, Rg  17.8 A, potential  -620.04
1300 / 5000 elapsed  0 system 0.80 temp 284.3 hbonds, Rg  17.9 A, potential  -536.93
1300 / 5000 elapsed  4 system 0.80 temp 308.5 hbonds, Rg  17.8 A, potential  -603.90
1300 / 5000 elapsed  3 system 0.80 temp 304.9 hbonds, Rg  18.2 A, potential  -536.10
1350 / 5000 elapsed  6 system 0.80 temp 299.4 hbonds, Rg  18.2 A, potential  -592.95
1300 / 5000 elapsed  2 system 0.80 temp 298.4 hbonds, Rg  17.5 A, potential  -588.58
1300 / 5000 elapsed  7 system 0.80 temp 298.5 hbonds, Rg  18.0 A, potential  -626.96
1350 / 5000 elapsed  5 system 0.80 temp 299.8 hbonds, Rg  17.7 A, potential  -549.63
1350 / 5000 elapsed  1 system 0.80 temp 298.7 hbonds, Rg  17.7 A, potential  -628.66
1350 / 5000 elapsed  0 system 0.80 temp 295.0 hbonds, Rg  17.9 A, potential  -550.72
1350 / 5000 elapsed  4 system 0.80 temp 301.6 hbonds, Rg  17.6 A, potential  -628.75
1350 / 5000 elapsed  3 system 0.80 temp 300.0 hbonds, Rg  18.0 A, potential  -611.70
1400 / 5000 elapsed  6 system 0.80 temp 305.7 hbonds, Rg  18.1 A, potential  -630.76
1350 / 5000 elapsed  7 system 0.80 temp 298.1 hbonds, Rg  18.1 A, potential  -589.41
1350 / 5000 elapsed  2 system 0.80 temp 296.1 hbonds, Rg  17.7 A, potential  -581.12
1400 / 5000 elapsed  1 system 0.80 temp 302.8 hbonds, Rg  17.8 A, potential  -608.53
